StockID,Date,ROE ,OPR,TOAR,TOTC,TAGR,NPGR,IRBR,CurrRatio,QuiRatio,CashRatio,ALR,EquiRatio,Label
603518,2021/12/31,0.099443,0.065556,8.408647,0.70715,0.086754,10.423432,0.759425,0.711733,0.386689,0.177409,0.58162,1.390174,B
603555,2021/12/31,0.389533,0.282136,3.06334,0.50142,-0.208024,-3.564349,0.580233,2.622625,2.220696,0.58484,0.3509,0.540596,C
603557,2021/12/31,-0.155891,-0.217907,1.407995,0.436809,-0.190716,-1.630614,-0.135761,2.161847,1.953721,0.328277,0.45218,0.825416,C
603558,2021/12/31,0.071091,0.097649,4.679713,0.519044,0.185883,-1.19025,-0.130903,1.274853,0.810828,0.191738,0.414398,0.707644,C
603587,2021/12/31,0.191556,0.300597,47.46282,0.617622,0.144619,-0.185949,0.302888,4.451221,4.070293,2.444383,0.198954,0.248367,A
603608,2021/12/31,-0.03831,-0.029177,9.963213,0.751102,-0.047487,-1.630614,0.107446,3.546654,2.553877,1.450759,0.386294,0.629445,B
603665,2021/12/31,-0.345107,-0.301908,8.810592,0.463398,0.033039,-27.904244,-0.019969,0.623328,0.265104,0.059475,0.654725,1.896243,C
603808,2021/12/31,0.128352,0.145213,7.784552,0.52411,0.260479,0.002922,0.203474,2.154766,1.42764,0.749052,0.349585,0.537479,B
603839,2021/12/31,0.024848,0.029782,10.395306,0.78568,-0.171672,-2.406833,0.294696,2.46267,1.46796,0.685745,0.257826,0.347392,B
603877,2021/12/31,0.165635,0.090444,17.280569,1.071245,0.19354,-0.135474,0.466875,1.531978,0.986433,0.237603,0.581138,1.387418,B
603889,2021/12/31,0.116973,0.102427,13.024288,0.86728,0.214946,-0.528634,-0.217321,2.24023,0.960057,0.548732,0.300983,0.430581,B
603900,2021/12/31,0.016683,0.030092,17.835059,0.502378,-0.004723,-54.192135,-0.199621,7.241168,2.443403,0.78001,0.145091,0.169715,C
603908,2021/12/31,0.173068,0.101048,10.818107,0.778196,0.215523,-0.601895,0.070334,1.560994,0.791476,0.231704,0.60508,1.532155,B
603958,2021/12/31,-0.020873,-0.004858,8.141665,0.852357,0.0026,-1.630614,0.70977,4.706355,2.882612,1.891834,0.178265,0.216938,B
605003,2021/12/31,0.142324,0.292804,5.964639,0.478175,0.111577,0.162526,0.250246,5.385621,4.470225,1.176422,0.115531,0.130622,B
605055,2021/12/31,0.088066,0.05702,11.718322,0.596455,0.313439,2.597933,0.161399,0.609962,0.52099,0.202325,0.456177,0.838834,B
605138,2021/12/31,0.166938,0.063164,7.978753,0.8629,0.239769,0.006364,0.198028,0.739793,0.41486,0.117528,0.644995,1.816863,B
605180,2021/12/31,0.221921,0.331539,2.807017,0.518409,1.383541,-0.374428,-0.067389,10.488978,9.058388,5.882069,0.077152,0.083602,B
605189,2021/12/31,0.204302,0.122914,82.24625,1.029625,0.649605,0.177112,0.132314,2.73369,1.905994,1.039376,0.291206,0.410848,A
605599,2021/12/31,0.135719,0.048103,58.356459,1.992851,0.333346,0.430666,0.488277,2.534872,1.119845,0.540779,0.383149,0.621138,A
